id,source_question_id,question,expected_document,expected_section,reference_answer,notes,experiment,retrieval_experiment,answer,context,llm_error,rouge_l_f1,grounding_overlap,citation_present
1,1,Что такое промежуточная аттестация?,ПОПАТКУС,Общие положения,Промежуточная аттестация предназначена для оценивания промежуточных или окончательных результатов обучения по дисциплине.,короткий definitional вопрос,extractive_top1_generation,baseline_dense_test,17. [Источник: ПОПАТКУС | Характеристика системы оценивания и принципов расчета оценок],"[1] Документ: ПОПАТКУС
Раздел: Характеристика системы оценивания и принципов расчета оценок
Фрагмент: 17. Оценка по промежуточной аттестации рассчитывается с помощью формулы (правила), учитывающей (учитывающего) каждую из оценок по Элементам контроля. Формула расчета (правило определения) оценки по промежуточной аттестации в обязательном порядке фиксируется в ПУД. При выставлении оценки по промежуточной аттестации применяются одинаковые правила при любой попытке сдачи Элемента контроля.",,0.0909090909090909,0.875,1
2,5,Можно ли пересдать неудовлетворительную оценку по дисциплине?,ПОПАТКУС,Организация сессии и оформление результатов промежуточной аттестации,"Неудовлетворительную оценку можно пересдать в порядке, установленном положением, в предусмотренные для этого сроки и периоды пересдач.",вопрос про процедуру,extractive_top1_generation,baseline_dense_test,"Процедура первой пересдачи по Дисциплине, предусматривающей экзамен, должна соответствовать процедуре сдачи экзамена, при этом формат проведения может отличаться. [Источник: ПОПАТКУС | Апелляция]","[1] Документ: ПОПАТКУС
Раздел: Апелляция
Фрагмент: 161. Процедура первой пересдачи по Дисциплине, предусматривающей экзамен, должна соответствовать процедуре сдачи экзамена, при этом формат проведения может отличаться. Если это зафиксировано в ПУД, то первая пересдача может отличаться технологией и форматом проведения (использование прокторинга, платформа тестирования и т.д.). Допускается дистанционная организация, в том числе для экзаменов, проведенных очно в учебных аудиториях. Пересдаче подлежит только неудовлетворительная оценка, полученная на экзамене. Накопленная оценка по иным Элементам контроля не подлежит изменению.  
162. Если по Дисциплине предусмотрены Элементы контроля, не подлежащие пересдаче, то при отсутствии оценок по ним у студента для расчета оценки по промежуточной аттестации они учитываются как «0».",,0.0,0.9473684210526315,1
3,7,Как подать апелляцию на блокирующий элемент контроля?,ПОПАТКУС,Апелляция,"Апелляция по блокирующему элементу контроля подается и рассматривается в порядке, установленном разделом об апелляции; комиссия либо удовлетворяет, либо отклоняет заявление.",процедурный ответ,extractive_top1_generation,baseline_dense_test,"Заявление на апелляцию подается студентом на имя академического руководителя в течение 3 (трех) рабочих дней с момента объявления оценки за блокирующий Элемент контроля и (или) экзамен (включая пересдачи), на результаты которого подается апелляция. [Источник: ПОПАТКУС | Апелляция]","[1] Документ: ПОПАТКУС
Раздел: Апелляция
Фрагмент: # Апелляция  
119. Студент имеет право на апелляцию результатов Элементов контроля, объявленных в ПУД блокирующими и (или) экзаменов (включая пересдачи), за исключением случаев, когда результат по вышеуказанным Элементам контроля составляет 8 баллов и выше.  
120. Заявление на апелляцию подается студентом на имя академического руководителя в течение 3 (трех) рабочих дней с момента объявления оценки за блокирующий Элемент контроля и (или) экзамен (включая пересдачи), на результаты которого подается апелляция.  
121. В заявлении должны быть указаны конкретные основания для апелляции. К ним могут относиться:  
1.  оценивание заданий, не соответствующее критериям, установленным в ПУД;  
2.  ошибки в формулировках задач и заданий, допущенные составителями;  
3.  нарушение преподавателем установленной в Университете процедуры проведения Элемента контроля;  
4.  обстоятельства, мешающие преподавателю объективно оценить работу.  
<!-- -->",,0.07142857142857142,0.96,1
4,21,Что считается плагиатом по правилам ВШЭ?,ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,"Плагиатом считается использование чужого текста или иного объекта авторских прав без полной ссылки либо в объеме, ставящем под сомнение самостоятельность работы.",академическая честность,extractive_top1_generation,baseline_dense_test,"Не считается плагиатом использование чужих источников/текста при подготовке учебных работ по образовательным программам, связанным с издательским делом/дизайном. [Источник: ПВРО 2024 | 3. ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ]","[1] Документ: ПВРО 2024
Раздел: 3. ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ
Фрагмент: 3.5.4.3. плагиата. Плагиат определяется как использование в письменной работе чужого текста или иного объекта авторских прав, опубликованного в бумажном или электронном виде, без полной ссылки (то есть без указания имени автора и источника заимствования) или со ссылками, но так, что объем и характер заимствований ставят под сомнение самостоятельность выполненной работы или одного из ее основных разделов. Плагиат может быть реализован в одной из следующих форм:

а) дословное изложение чужого текста;

б) полное использование иного объекта авторских прав;

в) парафраза -- изложение чужого текста с заменой слов и выражений без изменения содержания заимствованного текста.

Дословное изложение чужого текса и парафраз признается плагиатом также в случае перевода текста с иностранного языка. Не считается плагиатом использование чужих источников/текста при подготовке учебных работ по образовательным программам, связанным с издательским делом/дизайном.",,0.125,0.9523809523809523,1
5,24,Какие меры дисциплинарного взыскания могут применяться к обучающемуся?,ПВРО 2024,ДИСЦИПЛИНАРНАЯ ОТВЕТСТВЕННОСТЬ ОБУЧАЮЩИХСЯ,"К обучающемуся могут применяться замечание, выговор и отчисление.",короткий список,extractive_top1_generation,baseline_dense_test,"За совершение дисциплинарного проступка к обучающемуся могут быть применены следующие меры дисциплинарного взыскания:

а) замечание;

б) выговор;

в) отчисление. [Источник: ПВРО 2024 | 4. ДИСЦИПЛИНАРНАЯ ОТВЕТСТВЕННОСТЬ ОБУЧАЮЩИХСЯ]","[1] Документ: ПВРО 2024
Раздел: 4. ДИСЦИПЛИНАРНАЯ ОТВЕТСТВЕННОСТЬ ОБУЧАЮЩИХСЯ
Фрагмент: **4. ДИСЦИПЛИНАРНАЯ ОТВЕТСТВЕННОСТЬ ОБУЧАЮЩИХСЯ**

4.1. Дисциплинарным проступком признается неисполнение или нарушение Правил, иных локальных нормативных актов университета, в том числе регламентирующих организацию и осуществление образовательной деятельности.

За совершение дисциплинарного проступка к обучающемуся могут быть применены следующие меры дисциплинарного взыскания:

а) замечание;

б) выговор;

в) отчисление.

4.2. Университет осуществляет выбор конкретной меры дисциплинарного взыскания с учетом требований законодательства об образовании. Меры дисциплинарного взыскания могут быть применены к обучающемуся в любой последовательности (очередности), независимо от того, как они перечислены в пункте 4.1 Правил.",,0.3529411764705882,0.9444444444444444,1
6,34,Нужно ли показывать студенческий билет или пропуск по требованию охраны?,ПВРО 2024,ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ,"Да, при наличии оснований обучающийся обязан предъявить документ, подтверждающий обучение, и (или) электронный пропуск по требованию уполномоченных работников и охраны.",прикладной вопрос,extractive_top1_generation,baseline_dense_test,"при проходе в здания университета и (или) нахождении в помещениях университета иметь при себе документ, подтверждающий обучение в Университете (студенческий билет, удостоверение аспиранта, ученический билет и т.д.) и (или) электронный пропуск (последний - при наличии), предъявлять любой из документов, дающих право на вход на объекты НИУ ВШЭ в соответствии с Положением о внутриобъектовом и пропускном режиме на объектах НИУ ВШЭ по требованию уполномоченных работников НИУ ВШЭ и работников охраны, в случае наличия у указанных работников обоснованных подозрений в нарушении обучающимся Правил, а равно при наличии оснований, предусмотренных законодательством Российской Федерации, и при условии указания соответствующим работником своей должности, фамилии, имени, отчества; бережно и аккуратно хранить студенческий билет, удостоверение аспиранта, ученический билет, электронный пропуск, не передавать их третьим лицам, и не использовать указанные документы третьих лиц для совершения действий в своих интересах или [Источник: ПВРО 2024 | 3. ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ]","[1] Документ: ПВРО 2024
Раздел: 3. ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ
Фрагмент: 3.5.8. при проходе в здания университета и (или) нахождении в помещениях университета иметь при себе документ, подтверждающий обучение в Университете (студенческий билет, удостоверение аспиранта, ученический билет и т.д.) и (или) электронный пропуск (последний - при наличии), предъявлять любой из документов, дающих право на вход на объекты НИУ ВШЭ в соответствии с Положением о внутриобъектовом и пропускном режиме на объектах НИУ ВШЭ по требованию уполномоченных работников НИУ ВШЭ и работников охраны, в случае наличия у указанных работников обоснованных подозрений в нарушении обучающимся Правил, а равно при наличии оснований, предусмотренных законодательством Российской Федерации, и при условии указания соответствующим работником своей должности, фамилии, имени, отчества; бережно и аккуратно хранить студенческий билет, удостоверение аспиранта, ученический билет, электронный пропуск, не передавать их третьим лицам, и не использовать указанные документы третьих лиц для совершения действий в своих интересах или",,0.175,0.9879518072289156,1
7,37,Кто является учредителем и собственником имущества университета?,Ustav_01.02.2016-2,I. Общие положения,Учредителем и собственником имущества университета является Российская Федерация.,факт из устава,extractive_top1_generation,baseline_dense_test,Учредителем и собственником имущества университета является Российская Федерация. [Источник: Ustav_01.02.2016-2 | I. Общие положения],"[1] Документ: Ustav_01.02.2016-2
Раздел: I. Общие положения
Фрагмент: ## I. Общие положения  
1. Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"" (далее -университет) является унитарной некоммерческой организацией, созданной для осуществления образовательных, научных, социальных и культурных функций.  
2. Учредителем и собственником имущества университета является Российская Федерация.  
Функции и полномочия учредителя от имени Российской Федерации в отношении университета осуществляет Правительство Российской Федерации.  
Отдельные функции и полномочия учредителя осуществляют Министерство образования и науки Российской Федерации и Федеральное агентство по управлению государственным имуществом в соответствии с разграничениями, установленными настоящим уставом.",,0.6399999999999999,0.9166666666666666,1
8,40,Какие органы управления есть у университета?,Ustav_01.02.2016-2,IV. Организация деятельности и управление университетом,"Органами управления университета являются наблюдательный совет, конференция работников и обучающихся, ученый совет, президиум ученого совета, ректор и попечительский совет.",структурный вопрос,extractive_top1_generation,baseline_dense_test,"1) осуществляет текущее руководство деятельностью университета, за исключением вопросов, отнесенных федеральными законами или настоящим уставом к компетенции учредителя, наблюдательного совета и иных органов управления университетом;  
2) действует от имени университета без доверенности, представляет университет в отношениях с органами государственной власти, юридическими и физическими лицами;  
3) ежегодно отчитывается перед ученым советом университета;  
4) принимает решение о создании, переименовании и ликвидации структурных подразделений, за исключением структурных подразделений, создание переименование и ликвидация которых отнесены к компетенции ученого совета университета;  
5) утверждает положения о структурных подразделениях (кроме структурных подразделений, утверждение положений о которых отнесено к компетенции ученого совета университета);  
6) утверждает структуру и штатное расписание университета, включая структуру и штатное расписание филиалов и представительств; [Источник: Ustav_01.02.2016-2 | IV. Организация деятельности и управление университетом]","[1] Документ: Ustav_01.02.2016-2
Раздел: IV. Организация деятельности и управление университетом
Фрагмент: 1) осуществляет текущее руководство деятельностью университета, за исключением вопросов, отнесенных федеральными законами или настоящим уставом к компетенции учредителя, наблюдательного совета и иных органов управления университетом;  
2) действует от имени университета без доверенности, представляет университет в отношениях с органами государственной власти, юридическими и физическими лицами;  
3) ежегодно отчитывается перед ученым советом университета;  
4) принимает решение о создании, переименовании и ликвидации структурных подразделений, за исключением структурных подразделений, создание переименование и ликвидация которых отнесены к компетенции ученого совета университета;  
5) утверждает положения о структурных подразделениях (кроме структурных подразделений, утверждение положений о которых отнесено к компетенции ученого совета университета);  
6) утверждает структуру и штатное расписание университета, включая структуру и штатное расписание филиалов и представительств;",,0.0851063829787234,0.9857142857142858,1
9,42,На какой срок формируется наблюдательный совет?,Ustav_01.02.2016-2,IV. Организация деятельности и управление университетом,Срок полномочий наблюдательного совета университета составляет 5 лет.,короткий факт,extractive_top1_generation,baseline_dense_test,Срок полномочий наблюдательного совета университета составляет 5 лет. [Источник: Ustav_01.02.2016-2 | IV. Организация деятельности и управление университетом],"[1] Документ: Ustav_01.02.2016-2
Раздел: IV. Организация деятельности и управление университетом
Фрагмент: В состав наблюдательного совета университета могут входить представители иных государственных органов, органов местного самоуправления и работников университета. Количество представителей государственных органов и органов местного самоуправления в составе наблюдательного совета университета не должно превышать одну треть общего числа членов наблюдательного совета университета. Не менее половины из числа представителей государственных органов и органов местного самоуправления составляют представители Правительства Российской Федерации.  
Количество представителей работников университета не может превышать одну треть общего числа членов наблюдательного совета.  
Срок полномочий наблюдательного совета университета составляет 5 лет.",,0.5714285714285715,0.9285714285714286,1
10,52,Из каких источников формируется имущество университета?,Ustav_01.02.2016-2,VII. Экономика университета,"Имущество формируется из федеральной собственности, имущества, приобретенного за счет средств учредителя, имущества от приносящей доход деятельности и иных законных оснований.",перечень,extractive_top1_generation,baseline_dense_test,"Источниками формирования имущества университета являются:  
1) имущество, находящееся в федеральной собственности, закрепленное за университетом на праве оперативного управления;  
2) имущество, приобретенное университетом за счет средств, выделенных ему учредителем на приобретение такого имущества;  
3) имущество, приобретенное университетом за счет средств от приносящей доход деятельности;  
4) имущество, полученное университетом по иным основаниям, предусмотренным законодательством Российской Федерации. [Источник: Ustav_01.02.2016-2 | VII. Экономика университета]","[1] Документ: Ustav_01.02.2016-2
Раздел: VII. Экономика университета
Фрагмент: 108. Источниками формирования имущества университета являются:  
1) имущество, находящееся в федеральной собственности, закрепленное за университетом на праве оперативного управления;  
2) имущество, приобретенное университетом за счет средств, выделенных ему учредителем на приобретение такого имущества;  
3) имущество, приобретенное университетом за счет средств от приносящей доход деятельности;  
4) имущество, полученное университетом по иным основаниям, предусмотренным законодательством Российской Федерации.  
109. Финансовое обеспечение деятельности университета осуществляется за счет:  
1) субсидии, предоставляемой из федерального бюджета на финансовое обеспечение выполнения государственного задания, с учетом расходов на содержание недвижимого имущества и особо ценного движимого имущества, закрепленного за университетом на праве оперативного управления или приобретенного университетом за счет",,0.2650602409638554,0.972972972972973,1
