id,split,category,question_type,question,expected_document,expected_section,expected_topic,difficulty,evaluation_mode,notes
1,validation,attestation,exact,"Что такое промежуточная аттестация?",ПОПАТКУС,Общие положения,определение промежуточной аттестации,easy,auto,
2,validation,attestation,exact,"Что такое текущий контроль успеваемости?",ПОПАТКУС,Общие положения,определение текущего контроля,easy,auto,
3,validation,attestation,paraphrase,"Когда у студента появляется академическая задолженность?",ПОПАТКУС,Используемые понятия и сокращения,академическая задолженность,medium,auto,
4,validation,attestation,abbreviation,"Что такое ВКР?",ПОПАТКУС,Используемые понятия и сокращения,ВКР,easy,auto,
5,validation,attestation,scenario,"Можно ли пересдать неудовлетворительную оценку по дисциплине?",ПОПАТКУС,Организация сессии и оформление результатов промежуточной аттестации,пересдача,medium,auto,
6,validation,attestation,scenario,"Сколько пересдач есть у студента?",ПОПАТКУС,Организация сессии и оформление результатов промежуточной аттестации,количество пересдач,medium,auto,
7,validation,attestation,paraphrase,"Как подать апелляцию на блокирующий элемент контроля?",ПОПАТКУС,Апелляция,апелляция по блокирующему элементу,medium,auto,
8,validation,attestation,exact,"Может ли апелляционная комиссия понизить уже выставленную оценку?",ПОПАТКУС,Апелляция,полномочия апелляционной комиссии,hard,auto,
9,test,attestation,exact,"Что такое внешняя оценка?",ПОПАТКУС,Используемые понятия и сокращения,внешняя оценка,medium,auto,
10,test,attestation,exact,"Что такое блокирующий элемент контроля?",ПОПАТКУС,Используемые понятия и сокращения,блокирующий элемент контроля,medium,auto,
11,test,attestation,exact,"Что такое независимый экзамен?",ПОПАТКУС,Используемые понятия и сокращения,независимый экзамен,medium,auto,
12,test,attestation,paraphrase,"Могут ли элементы контроля проходить с применением дистанционных технологий?",ПОПАТКУС,Организация Элементов контроля при изучении Дисциплины,дистанционные технологии,medium,auto,
13,test,attestation,exact,"Что считается синхронным элементом контроля?",ПОПАТКУС,Организация Элементов контроля при изучении Дисциплины,синхронный элемент контроля,medium,auto,
