id,split,category,question_type,question,expected_document,expected_section,expected_topic,difficulty,evaluation_mode,notes,top_documents,top_sections,top_scores,top_chunk_ids,top_chunks,document_first_relevant_rank,section_first_relevant_rank,document_hit@1,document_hit@3,document_mrr,document_ndcg@3,section_hit@1,section_hit@3,experiment,family
1,validation,attestation,exact,Что такое промежуточная аттестация?,ПОПАТКУС,Общие положения,определение промежуточной аттестации,easy,auto,,ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС,Характеристика системы оценивания и принципов расчета оценок | Общие положения | Особенности организации оценивания и зачета результатов по отдельным Элементам обучения | Организация сессии и оформление результатов промежуточной аттестации | Характеристика системы оценивания и принципов расчета оценок,0.6267 | 0.6097 | 0.6093 | 0.5985 | 0.5944,233 | 219 | 302 | 267 | 235,"17. Оценка по промежуточной аттестации рассчитывается с помощью формулы (правила), учитывающей (учитывающего) каждую из оценок по Элементам контроля. Формула расчета (правило определения) оценки по промежуточной аттестации в обязательном порядке фиксируется в ПУД. При выставлении оценки по промежуточной аттестации применяются одинаковые правила при любой попытке сдачи Элемента контроля. ||| 3. Государственная итоговая аттестация студентов организуется в соответствии с локальным нормативным актом Университета, регулирующим организацию и проведение государственной итоговой аттестации в Университете. 4. Текущий контроль предназначен для регулярного и систематического оценивания хода освоения студентами Дисциплины во время контактных занятий преподавателя со студентами, включая занятия, организуемые с использованием дистанционных технологий, и по итогам самостоятельной работы студентов. Текущий контроль предусматривает несколько Элементов контроля, каждый из которых оценивается по правилам, определенным в ПУД. 5. Промежуточная аттестация предназначена для оценивания: 1. промежуточных результатов обучения по Дисциплине -- если Дисциплина изучается несколько учебных периодов, при этом изучение Дисциплины не завершено, и учебный план образовательной программы, включающей данную Дисциплину, предусматривает проведение нескольких промежуточных аттестаций; ||| 1. **Дисциплины, изученные в других образовательных организациях высшего образования во время академической мобильности, не связанной с сетевой формой реализации образовательных программ** 117. Результаты промежуточной аттестации студентов, участвующих в программах двустороннего и многостороннего обмена, освоивших часть образовательной программы в другой образовательной организации, в том числе зарубежной, учитываются путем зачета результатов промежуточной аттестации, полученных ими в другой образовательной организации в соответствии с локальными нормативными актами НИУ ВШЭ. 118. Оценки по промежуточной аттестации определяются в таких случаях индивидуально для каждого студента в установленном в НИУ ВШЭ порядке[^30]. ||| # Организация сессии и оформление результатов промежуточной аттестации 59. Подведение результатов промежуточной аттестации организуется в период сессии. Для целей исключения возможного обесценивания результатов студенческой оценки преподавания, проводимой в соответствии с локальными нормативными актами Университета до начала сессии, не допускается выставление промежуточной или окончательной оценки по Дисциплине до сессии. 60. Результаты промежуточной аттестации фиксируются в электронной ведомости, доступной преподавателю через электронный личный кабинет и через интернет-страницу Дисциплины в ЭИОС. 61. Студент может быть не допущен к сессии в случае нарушения им сроков и (или) объемов оплаты, предусмотренных договором об образовании/ договором по части ОП. Решение о недопуске к сессии принимает декан факультета, издав соответствующий приказ. 62. Во время сессии могут быть предусмотрены следующие синхронные и асинхронные мероприятия: ||| 20. Формула расчета (правило определения) оценки по промежуточной аттестации может быть построена как нелинейное выражение с использованием разнообразных элементов выбора (минимальное или максимальное значение из нескольких оценок, выбор из нескольких оценок по определенному условию и прочее), либо предусматривать ранжирование результатов студентов по Элементам контроля с помощью определенных правил, либо строится иным, указанным в ПУД, способом. 21. Окончательная оценка по Дисциплине, предусматривающей несколько промежуточных аттестаций, может зависеть от промежуточных оценок, наряду с оценками по Элементам контроля последнего учебного периода изучения такой Дисциплины. Порядок определения окончательной оценки фиксируется в ПУД.",1,2,1,1,1.0,1.0,0,1,baseline_dense_validation,reference
2,validation,attestation,exact,Что такое текущий контроль успеваемости?,ПОПАТКУС,Общие положения,определение текущего контроля,easy,auto,,ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС,Общие положения | Используемые понятия и сокращения | Общие положения | Используемые понятия и сокращения | Заключительные положения,0.6209 | 0.6129 | 0.6100 | 0.5892 | 0.5788,219 | 215 | 218 | 204 | 347,"3. Государственная итоговая аттестация студентов организуется в соответствии с локальным нормативным актом Университета, регулирующим организацию и проведение государственной итоговой аттестации в Университете. 4. Текущий контроль предназначен для регулярного и систематического оценивания хода освоения студентами Дисциплины во время контактных занятий преподавателя со студентами, включая занятия, организуемые с использованием дистанционных технологий, и по итогам самостоятельной работы студентов. Текущий контроль предусматривает несколько Элементов контроля, каждый из которых оценивается по правилам, определенным в ПУД. 5. Промежуточная аттестация предназначена для оценивания: 1. промежуточных результатов обучения по Дисциплине -- если Дисциплина изучается несколько учебных периодов, при этом изучение Дисциплины не завершено, и учебный план образовательной программы, включающей данную Дисциплину, предусматривает проведение нескольких промежуточных аттестаций; ||| *Синхронное освоение Дисциплины* -- формат организации обучения, требующий нахождения преподавателей и студентов в информационной сети в одно и то же время, с сеансами непрерывной коммуникации. *Синхронный Элемент контроля* -- элемент контроля, который выполняется студентами согласно расписанию занятий, в том числе с подключением преподавателя по телекоммуникационной сети. *Текущий контроль* -- текущий контроль успеваемости, предназначенный для регулярного и систематического оценивания хода освоения студентами Дисциплины. *УИС --* информационная система НИУ ВШЭ, в которой хранятся данные об успеваемости студентов, нагрузке преподавателей, учебные планы и пр. *Учебный офис* -- структурное подразделение факультета, в функции которого входит сопровождение процессов, связанных с обучением студентов образовательной программы, и включенное в систему учебных офисов в установленном в НИУ ВШЭ порядке. ||| # Общие положения 1. Контроль качества освоения студентом образовательной программы высшего образования включает в себя текущий контроль, промежуточную аттестацию и государственную итоговую аттестацию. 2. Положение регламентирует контроль качества освоения студентом образовательной программы[^4] в части организации текущего контроля и промежуточной аттестации студентов Университета[^5] во всех кампусах. 3. Государственная итоговая аттестация студентов организуется в соответствии с локальным нормативным актом Университета, регулирующим организацию и проведение государственной итоговой аттестации в Университете. ||| *Асинхронный Элемент контроля* -- элемент контроля, который выполняется студентами в часы самостоятельной работы по Дисциплине без подключения преподавателя, с последующей проверкой результатов преподавателем или учебным ассистентом. *Блокирующий Элемент контроля --* элемент контроля, неудовлетворительная оценка по которому приравнивается к оценке по промежуточной аттестации или по части накопленной оценки до тех пор, пока студент не получит положительную оценку по блокирующему Элементу контроля. Когда студент получит положительную оценку по блокирующему Элементу контроля (сразу или на пересдаче), промежуточная оценка (либо ее часть) рассчитывается с учетом полученной положительной оценки по блокирующему Элементу контроля. *Ведомость* -- ведомость промежуточной аттестации, в которой фиксируются промежуточные и окончательные результаты обучения по Дисциплине. *ВКР* -- выпускная квалификационная работа. ||| 204. Особенности организации промежуточной аттестации и текущего контроля успеваемости студентов с инвалидностью и ограниченными возможностями здоровья регламентируется приложением 6 к Положению. 205. Особенности организации промежуточной аттестации и текущего контроля успеваемости студентов образовательной программы «Совместная программа по экономике НИУ ВШЭ и РЭШ» факультета экономических наук НИУ ВШЭ регламентируется приложением 7 к Положению. 206. Особенности организации промежуточной аттестации и текущего контроля успеваемости студентов образовательных программ по направлениям «Дизайн», «Изящные искусства» и образовательной программы «Современные технологии преподавания дизайна и искусства» по направлению подготовки «Педагогическое образование» регламентируются приложением 8 к Положению.",1,1,1,1,1.0,1.0,1,1,baseline_dense_validation,reference
3,validation,attestation,paraphrase,Когда у студента появляется академическая задолженность?,ПОПАТКУС,Используемые понятия и сокращения,академическая задолженность,medium,auto,,ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС,Апелляция | Апелляция | Апелляция | Особенности организации оценивания и зачета результатов по отдельным Элементам обучения | Апелляция,0.6786 | 0.6722 | 0.6680 | 0.6591 | 0.6524,343 | 338 | 340 | 288 | 333,"196. Студент, которому согласовали перенос второй пересдачи и повторное изучение, заново обучается по Дисциплине (Дисциплинам), по которой (которым) имеется академическая задолженность, в рамках договора по части ОП в соответствии с локальными нормативными актами, регулирующими освоение частей образовательной программы и расчет стоимости образовательных услуг при изменении образовательной траектории. 197. Повторно изучаемые Дисциплины для студентов завершаются экзаменом, сдаваемым комиссии, в статусе третьей (последней) сдачи (второй пересдачи) не позднее, чем в период пересдач, который состоится через 1 (один) календарный год после периода, в которой была организована первая пересдача. 198. Если студент после повторного изучения Дисциплины не ликвидировал хотя бы 1 (одну) академическую задолженность во время третьей сдачи (второй пересдачи), то студент отчисляется из Университета за недобросовестное освоение образовательной программы. ||| 187. По окончании периода пересдач студент, не успевший использовать установленное количество пересдач, считается студентом, не ликвидировавшим академические задолженности. 188. Если студент не явился на первую и (или) вторую пересдачу по уважительной причине в период пересдач, декан факультета определяет студенту новые даты пересдачи в течение 10 (десяти) календарных дней после периода пересдач или назначает их в следующий период пересдач при выполнении условий пункта 158 Положения. Если срок с момента образования академической задолженности превысит 1 (один) календарный год (без учета дней отсутствия по причине болезни, нахождения в академическом отпуске или отпуске по беременности и родам), то университет вправе инициировать отчисление студента в связи с недобросовестным освоением образовательной программы. ||| 191. Студент, сохранивший после первой пересдачи академическую задолженность, имеет возможность выбрать один из двух вариантов: 1. участвовать во второй пересдаче в текущий период пересдач (далее - типовой сценарий пересдач); 2. отложить участие во второй пересдаче и запросить возможность повторного изучения Дисциплины в рамках договора по части ОП (далее - повторное изучение). 192. Возможность повторного изучения может быть предоставлена не более, чем по 2 (двум) дисциплинам, и только по тем дисциплинам, по которым допускается, в соответствии с утвержденными учебными планами, организовать вторую пересдачу в период, отстоящий от первой даты образования задолженности, не более чем на 1 (один) календарный год (без учета дней болезни). 193. Если в период пересдач студент не ликвидировал хотя бы 1 (одну) академическую задолженность, использовав все 3 (три) попытки, то такой студент отчисляется из Университета за недобросовестное освоение образовательной программы. ||| 98. Неявка студентов на мероприятия обязательной внешней оценки учитывается как академическая задолженность. 99. При пропуске внешней оценки по уважительной причине это событие не суммируется с имеющимися задолженностями по соответствующему независимому экзамену или Дисциплине-пререквизиту. Если по соответствующей компетенции у студента получены положительные оценки, то академическая задолженность, возникшая по причине пропуска обязательной внешней оценки, учитывается в общем количестве задолженностей до момента прохождения внешней оценки. 100. Неудовлетворительная оценка, полученная по итогам внешней оценки, не учитывается как академическая задолженность. ||| 175. Пересдачи не могут назначаться в каникулярное время. Периоды пересдач для студентов очных образовательных программ не могут завершаться позднее сроков, указанных в таблице: ----------------------------------------------------------------- ------------------------------------------------ Для ликвидации студентами академической задолженности по итогам Предельный срок для окончания периода пересдач 3-4 модулей 15 октября 1-2 модулей 15 февраля ----------------------------------------------------------------- ------------------------------------------------ 176. Для студентов выпускных курсов назначается дополнительный период пересдач академических задолженностей за 3 (третий) модуль до начала проведения государственной итоговой аттестации.",1,,1,1,1.0,1.0,0,0,baseline_dense_validation,reference
4,validation,attestation,abbreviation,Что такое ВКР?,ПОПАТКУС,Используемые понятия и сокращения,ВКР,easy,auto,,ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС,Используемые понятия и сокращения | Используемые понятия и сокращения | Особенности организации оценивания и зачета результатов по отдельным Элементам обучения | Особенности организации оценивания и зачета результатов по отдельным Элементам обучения | Особенности организации оценивания и зачета результатов по отдельным Элементам обучения,0.5878 | 0.5314 | 0.3938 | 0.3812 | 0.3646,205 | 204 | 298 | 293 | 297,"*ВКР* -- выпускная квалификационная работа. *Внешняя оценка* -- отдельный вид контрольных мероприятий, нацеленный на дополнительное подтверждение наличия у студентов сформированных ключевых образовательных результатов или иных компетенций, предусмотренных образовательной программой, а также нацеленный на сопоставление имеющихся у студентов образовательных результатов с требованиями работодателей (ассоциаций работодателей) в части профессиональных квалификаций или с иными общепризнанными рамками квалификаций. Внешняя оценка для студентов может быть обязательной или добровольной. Обязательность регулируется учебным планом образовательной программы или иными распорядительными документами Университета. Внешняя оценка всегда проводится по технологии и контрольно-измерительным материалам сторонней организации. Обязательная внешняя оценка, проводившаяся впервые, для студентов не может быть платной. ||| *Асинхронный Элемент контроля* -- элемент контроля, который выполняется студентами в часы самостоятельной работы по Дисциплине без подключения преподавателя, с последующей проверкой результатов преподавателем или учебным ассистентом. *Блокирующий Элемент контроля --* элемент контроля, неудовлетворительная оценка по которому приравнивается к оценке по промежуточной аттестации или по части накопленной оценки до тех пор, пока студент не получит положительную оценку по блокирующему Элементу контроля. Когда студент получит положительную оценку по блокирующему Элементу контроля (сразу или на пересдаче), промежуточная оценка (либо ее часть) рассчитывается с учетом полученной положительной оценки по блокирующему Элементу контроля. *Ведомость* -- ведомость промежуточной аттестации, в которой фиксируются промежуточные и окончательные результаты обучения по Дисциплине. *ВКР* -- выпускная квалификационная работа. ||| 109. Оценки, полученные студентами на защите Project Proposal, в обязательном порядке передаются секретарю государственной экзаменационной комиссии по защите ВКР (далее -- ГЭК). Секретарь ГЭК объявляет оценки членам ГЭК. 110. Оценка, полученная студентом на защите Project Proposal, указывается отдельной строкой в приложении к диплому выпускника бакалавриата и специалитета НИУ ВШЭ. 111. В случае изменения темы ВКР студента, который восстанавливается для повторного прохождения государственной итоговой аттестации, предполагающей подготовку содержательно нового текста ВКР, в ИУП студента включается обязательная защита Project Proposal даже в случае, если до отчисления по данному элементу учебного плана студентом была получена положительная оценка. 1. **Практическая подготовка** ||| 1. ранее полученная оценка по соответствующему независимому экзамену положительная и ниже, чем полученная внешняя оценка, 2. отсутствует предыдущая внешняя оценка, большая текущей на 2 (два) балла или более. 103. Если очередная оценка внешнего изменения цифровых компетенций отличается в меньшую сторону от любой предыдущей внешней оценки на 2 (два) балла или более, все ранее проведенные зачеты по цифровым компетенциям на лучшую оценку аннулируются, и в УИС восстанавливаются ранее полученные результаты сдачи независимых экзаменов и результаты освоения Дисциплин-пререквизитов. Образовавшиеся при такой отмене зачетов академические задолженности подлежат пересдаче в ближайший возможный период пересдач, установленный для этих Элементов контроля. 104. Особенности организации внешней оценки по цифровым компетенциям описаны в приложении 5 к Положению. 1. **Факультатив «Академическое письмо на английском языке» и защита Project Proposal по теме ВКР на английском языке** <!-- --> ||| 106. Рекомендуется организовывать защиту Project Proposal в сессию 3 (третьего) модуля. Защита Project Proposal не может быть организована позднее 2 (двух) недель после 3 (третьего) модуля выпускного курса. 107. Результаты защиты Project Proposal фиксируются председателем комиссии в протоколе. Протоколы защиты Project Proposal готовит менеджер образовательной программы и передает председателю комиссии по оцениванию Project Proposal. Передача протоколов возможна в электронном виде. 108. Студент, получивший на защите Project Proposal неудовлетворительную оценку или не явившийся на процедуру защиты Project Proposal без уважительной причины, имеет академическую задолженность, и к нему применяется порядок действий, изложенный в разделе VIII Положения. 109. Оценки, полученные студентами на защите Project Proposal, в обязательном порядке передаются секретарю государственной экзаменационной комиссии по защите ВКР (далее -- ГЭК). Секретарь ГЭК объявляет оценки членам ГЭК.",1,1,1,1,1.0,1.0,1,1,baseline_dense_validation,reference
5,validation,attestation,scenario,Можно ли пересдать неудовлетворительную оценку по дисциплине?,ПОПАТКУС,Организация сессии и оформление результатов промежуточной аттестации,пересдача,medium,auto,,ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС,Апелляция | Апелляция | Апелляция | Апелляция | Апелляция,0.6510 | 0.6479 | 0.6465 | 0.6424 | 0.6349,325 | 327 | 304 | 340 | 343,"161. Процедура первой пересдачи по Дисциплине, предусматривающей экзамен, должна соответствовать процедуре сдачи экзамена, при этом формат проведения может отличаться. Если это зафиксировано в ПУД, то первая пересдача может отличаться технологией и форматом проведения (использование прокторинга, платформа тестирования и т.д.). Допускается дистанционная организация, в том числе для экзаменов, проведенных очно в учебных аудиториях. Пересдаче подлежит только неудовлетворительная оценка, полученная на экзамене. Накопленная оценка по иным Элементам контроля не подлежит изменению. 162. Если по Дисциплине предусмотрены Элементы контроля, не подлежащие пересдаче, то при отсутствии оценок по ним у студента для расчета оценки по промежуточной аттестации они учитываются как «0». ||| 164. Вторая пересдача результатов промежуточной аттестации (далее -- вторая пересдача) может проводиться в том числе в дистанционном формате и принимается комиссией в составе не менее 3 (трех) человек. 165. Второй пересдаче подлежит только неудовлетворительная оценка по первой пересдаче экзамена для Дисциплин, предусматривающих экзамен. Накопленная оценка по иным Элементам контроля не подлежит изменению. 166. Для Дисциплин, в которых экзамен не предусмотрен, второй пересдаче подлежит неудовлетворительная оценка, полученная во время первой пересдачи по КИМам для пересдач. Оценки по Элементам контроля, повторить которые невозможно, не подлежат изменению. ||| 2. ошибки в формулировках задач и заданий, допущенные составителями; 3. нарушение преподавателем установленной в Университете процедуры проведения Элемента контроля; 4. обстоятельства, мешающие преподавателю объективно оценить работу. <!-- --> 124. Неудовлетворенность студента полученной оценкой не может быть основанием для апелляции. 125. Результаты второй пересдачи экзамена подлежат апелляции только по основанию, предусмотренному в подпункте 124.3 пункта 124 Положения. 126. В заявлении, поданном по основанию, предусмотренному подпунктом 124.1 пункта 124 Положения, может содержаться просьба переоценить все или некоторые части Элемента контроля. В этом случае студент должен указать, какой балл ему должен быть выставлен за все или некоторые части Элемента контроля. 127. В заявлении, поданном по основанию, предусмотренному подпунктом 124.2 пункта 124 Положения, должны быть перечислены ошибки в заданиях. ||| 191. Студент, сохранивший после первой пересдачи академическую задолженность, имеет возможность выбрать один из двух вариантов: 1. участвовать во второй пересдаче в текущий период пересдач (далее - типовой сценарий пересдач); 2. отложить участие во второй пересдаче и запросить возможность повторного изучения Дисциплины в рамках договора по части ОП (далее - повторное изучение). 192. Возможность повторного изучения может быть предоставлена не более, чем по 2 (двум) дисциплинам, и только по тем дисциплинам, по которым допускается, в соответствии с утвержденными учебными планами, организовать вторую пересдачу в период, отстоящий от первой даты образования задолженности, не более чем на 1 (один) календарный год (без учета дней болезни). 193. Если в период пересдач студент не ликвидировал хотя бы 1 (одну) академическую задолженность, использовав все 3 (три) попытки, то такой студент отчисляется из Университета за недобросовестное освоение образовательной программы. ||| 196. Студент, которому согласовали перенос второй пересдачи и повторное изучение, заново обучается по Дисциплине (Дисциплинам), по которой (которым) имеется академическая задолженность, в рамках договора по части ОП в соответствии с локальными нормативными актами, регулирующими освоение частей образовательной программы и расчет стоимости образовательных услуг при изменении образовательной траектории. 197. Повторно изучаемые Дисциплины для студентов завершаются экзаменом, сдаваемым комиссии, в статусе третьей (последней) сдачи (второй пересдачи) не позднее, чем в период пересдач, который состоится через 1 (один) календарный год после периода, в которой была организована первая пересдача. 198. Если студент после повторного изучения Дисциплины не ликвидировал хотя бы 1 (одну) академическую задолженность во время третьей сдачи (второй пересдачи), то студент отчисляется из Университета за недобросовестное освоение образовательной программы.",1,,1,1,1.0,1.0,0,0,baseline_dense_validation,reference
6,validation,attestation,scenario,Сколько пересдач есть у студента?,ПОПАТКУС,Организация сессии и оформление результатов промежуточной аттестации,количество пересдач,medium,auto,,ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС | ПОПАТКУС,Апелляция | Апелляция | Апелляция | Апелляция | Апелляция,0.6882 | 0.6687 | 0.6669 | 0.6634 | 0.6546,340 | 339 | 343 | 334 | 338,"191. Студент, сохранивший после первой пересдачи академическую задолженность, имеет возможность выбрать один из двух вариантов: 1. участвовать во второй пересдаче в текущий период пересдач (далее - типовой сценарий пересдач); 2. отложить участие во второй пересдаче и запросить возможность повторного изучения Дисциплины в рамках договора по части ОП (далее - повторное изучение). 192. Возможность повторного изучения может быть предоставлена не более, чем по 2 (двум) дисциплинам, и только по тем дисциплинам, по которым допускается, в соответствии с утвержденными учебными планами, организовать вторую пересдачу в период, отстоящий от первой даты образования задолженности, не более чем на 1 (один) календарный год (без учета дней болезни). 193. Если в период пересдач студент не ликвидировал хотя бы 1 (одну) академическую задолженность, использовав все 3 (три) попытки, то такой студент отчисляется из Университета за недобросовестное освоение образовательной программы. ||| 189. В исключительных случаях допускается пересдача до начала периода пересдач во время текущей сессии. Решение принимается академическим руководителем образовательной программы по согласованию с преподавателем, проводившим экзамен. Количество пересдач при этом не увеличивается. Заявление студента на имя академического руководителя образовательной программы с просьбой разрешить ему досрочную пересдачу в виде исключения должно в обязательном порядке содержать описание причин с приложением документов, подтверждающих исключительность ситуации. 190. Студент обязан самостоятельно узнавать о результатах промежуточной аттестации. Незнание результатов промежуточной аттестации не освобождает студента от ответственности и не может служить оправданием неявки на пересдачу или нарушения срока подачи заявления на апелляцию. 191. Студент, сохранивший после первой пересдачи академическую задолженность, имеет возможность выбрать один из двух вариантов: ||| 196. Студент, которому согласовали перенос второй пересдачи и повторное изучение, заново обучается по Дисциплине (Дисциплинам), по которой (которым) имеется академическая задолженность, в рамках договора по части ОП в соответствии с локальными нормативными актами, регулирующими освоение частей образовательной программы и расчет стоимости образовательных услуг при изменении образовательной траектории. 197. Повторно изучаемые Дисциплины для студентов завершаются экзаменом, сдаваемым комиссии, в статусе третьей (последней) сдачи (второй пересдачи) не позднее, чем в период пересдач, который состоится через 1 (один) календарный год после периода, в которой была организована первая пересдача. 198. Если студент после повторного изучения Дисциплины не ликвидировал хотя бы 1 (одну) академическую задолженность во время третьей сдачи (второй пересдачи), то студент отчисляется из Университета за недобросовестное освоение образовательной программы. ||| 176. Для студентов выпускных курсов назначается дополнительный период пересдач академических задолженностей за 3 (третий) модуль до начала проведения государственной итоговой аттестации. 177. Расписание пересдач (первых и вторых) составляется учебным офисом программы или ДООП (для Дисциплин общеуниверситетских пулов). Ответственный за составление пересдач уточняет у преподавателя, принимающего первую пересдачу, необходимость формировать несколько дат для пересдач с учетом числа студентов, а также технологии проведения повторного экзамена. 178. Промежуток между первой пересдачей и второй пересдачей должен составлять не менее 5 (пяти) календарных дней. 179. Расписание пересдач доводится до сведения студентов, имеющих академические задолженности по итогам последней сессии, не позднее чем за 3 (три) дня до даты назначения первой пересдачи. Для оповещения студентов о расписании пересдач используются ЭИОС. ||| 187. По окончании периода пересдач студент, не успевший использовать установленное количество пересдач, считается студентом, не ликвидировавшим академические задолженности. 188. Если студент не явился на первую и (или) вторую пересдачу по уважительной причине в период пересдач, декан факультета определяет студенту новые даты пересдачи в течение 10 (десяти) календарных дней после периода пересдач или назначает их в следующий период пересдач при выполнении условий пункта 158 Положения. Если срок с момента образования академической задолженности превысит 1 (один) календарный год (без учета дней отсутствия по причине болезни, нахождения в академическом отпуске или отпуске по беременности и родам), то университет вправе инициировать отчисление студента в связи с недобросовестным освоением образовательной программы.",1,,1,1,1.0,1.0,0,0,baseline_dense_validation,reference
