experiment,family,split,preprocessing,chunking_method,chunk_size,chunk_overlap,embedder,retrieval_mode,reranker,evaluated_questions,question_types,document_hit@1,document_hit@3,document_mrr,document_ndcg@3,section_hit@1,section_hit@3
baseline_dense_validation,reference,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7916666666666666,0.8333333333333334
preprocess_raw_validation,preprocessing,validation,raw,header_recursive,1024,256,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7916666666666666,0.8333333333333334
preprocess_clean_validation,preprocessing,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7916666666666666,0.8333333333333334
chunk_small_validation,chunk_size,validation,clean,header_recursive,768,128,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",0.9583333333333334,1.0,0.9791666666666666,0.9846220730654774,0.75,0.875
chunk_medium_validation,chunk_size,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7916666666666666,0.8333333333333334
chunk_large_validation,chunk_size,validation,clean,header_recursive,1536,384,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",0.9166666666666666,0.9583333333333334,0.9458333333333332,0.9429554063988108,0.7083333333333334,0.7916666666666666
chunk_plain_recursive_validation,chunking,validation,clean,plain_recursive,1024,256,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.25,0.25
chunk_header_recursive_validation,chunking,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7916666666666666,0.8333333333333334
embedder_deepvk_validation,embedder,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7916666666666666,0.8333333333333334
embedder_minilm_validation,embedder,validation,clean,header_recursive,1024,256,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,dense,,24,"abbreviation, exact, paraphrase, scenario",0.7916666666666666,0.9583333333333334,0.8833333333333333,0.8968216255952429,0.5,0.625
embedder_e5_validation,embedder,validation,clean,header_recursive,1024,256,intfloat/multilingual-e5-small,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7916666666666666,0.8333333333333334
retriever_dense_validation,retriever,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,dense,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7916666666666666,0.8333333333333334
retriever_bm25_validation,retriever,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,bm25,,24,"abbreviation, exact, paraphrase, scenario",0.9166666666666666,0.9583333333333334,0.9458333333333332,0.9429554063988108,0.5,0.7083333333333334
retriever_ensemble_validation,retriever,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,ensemble,,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.7083333333333334,0.875
retriever_ensemble_rerank_validation,retriever,validation,clean,header_recursive,1024,256,deepvk/USER-bge-m3,ensemble,amberoad/bert-multilingual-passage-reranking-msmarco,24,"abbreviation, exact, paraphrase, scenario",1.0,1.0,1.0,1.0,0.75,0.7916666666666666
baseline_dense_test,reference,test,clean,header_recursive,1024,256,deepvk/USER-bge-m3,dense,,30,"abbreviation, exact, paraphrase, scenario, typo",1.0,1.0,1.0,1.0,0.7333333333333333,0.8333333333333334
